Id;Marker;X;Y;Z
0;0;5.5511151231257830e-18;0.0000000000000000e+00;1.0704659999999999e+00
1;0;7.1364419999999995e-01;0.0000000000000000e+00;7.9787839999999999e-01
2;0;-3.5682209999999998e-01;6.1803399999999997e-01;7.9787839999999999e-01
3;0;-3.5682209999999998e-01;-6.1803399999999997e-01;7.9787839999999999e-01
4;0;7.9787839999999999e-01;6.1803399999999997e-01;3.5682209999999998e-01
5;0;7.9787839999999999e-01;-6.1803399999999997e-01;3.5682209999999998e-01
6;0;-9.3417240000000001e-01;3.8196600000000003e-01;3.5682209999999998e-01
7;0;1.3629390000000000e-01;1.0000000000000000e+00;3.5682209999999998e-01
8;0;1.3629390000000000e-01;-1.0000000000000000e+00;3.5682209999999998e-01
9;0;-9.3417240000000001e-01;-3.8196600000000003e-01;3.5682209999999998e-01
10;0;9.3417240000000001e-01;3.8196600000000003e-01;-3.5682209999999998e-01
11;0;9.3417240000000001e-01;-3.8196600000000003e-01;-3.5682209999999998e-01
12;0;-7.9787839999999999e-01;6.1803399999999997e-01;-3.5682209999999998e-01
13;0;-1.3629390000000000e-01;1.0000000000000000e+00;-3.5682209999999998e-01
14;0;-1.3629390000000000e-01;-1.0000000000000000e+00;-3.5682209999999998e-01
15;0;-7.9787839999999999e-01;-6.1803399999999997e-01;-3.5682209999999998e-01
16;0;3.5682209999999998e-01;6.1803399999999997e-01;-7.9787839999999999e-01
17;0;3.5682209999999998e-01;-6.1803399999999997e-01;-7.9787839999999999e-01
18;0;-7.1364419999999995e-01;0.0000000000000000e+00;-7.9787839999999999e-01
19;0;5.5511151231257830e-18;0.0000000000000000e+00;-1.0704659999999999e+00
